months_as_customer,age,policy_number,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,capital-gains,capital-loss,incident_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year
328,48,521585,1000,1406.91,0,466132,53300,0,Single Vehicle Collision,Major Damage,Police,SC,Columbus,5,1,1,2,71610,6510,13020,52080,Saab,2004
228,42,342868,2000,1197.22,5000000,468176,0,0,Vehicle Theft,Minor Damage,Police,VA,Riverwood,8,1,0,0,5070,780,780,3510,Mercedes,2007
134,29,687698,2000,1413.14,5000000,430632,35100,0,Multi-vehicle Collision,Minor Damage,Police,NY,Columbus,7,3,2,3,34650,7700,3850,23100,Dodge,2007
256,41,227811,2000,1415.74,6000000,608117,48900,-62400,Single Vehicle Collision,Major Damage,Police,OH,Arlington,5,1,1,2,63400,6340,6340,50720,Chevrolet,2014
228,44,367455,1000,1583.91,6000000,610706,66000,-46000,Vehicle Theft,Minor Damage,None,NY,Arlington,20,1,0,1,6500,1300,650,4550,Accura,2009
256,39,104594,1000,1351.1,0,478456,0,0,Multi-vehicle Collision,Major Damage,Fire,SC,Arlington,19,3,0,2,64100,6410,6410,51280,Saab,2003
137,34,413978,1000,1333.35,0,441716,0,-77000,Multi-vehicle Collision,Minor Damage,Police,NY,Springfield,0,3,0,0,78650,21450,7150,50050,Nissan,2012
165,37,429027,1000,1137.03,0,603195,0,0,Multi-vehicle Collision,Total Loss,Police,VA,Columbus,23,3,2,2,51590,9380,9380,32830,Audi,2015
27,33,485665,500,1442.99,0,601734,0,0,Single Vehicle Collision,Total Loss,Police,WV,Arlington,21,1,1,1,27700,2770,2770,22160,Toyota,2012
212,42,636550,500,1315.68,0,600983,0,-39300,Single Vehicle Collision,Total Loss,Other,NC,Hillsdale,14,1,2,1,42300,4700,4700,32900,Saab,1996
235,42,543610,500,1253.12,4000000,462283,38400,0,Single Vehicle Collision,Total Loss,Police,NY,Northbend,22,1,2,2,87010,7910,15820,63280,Ford,2002
447,61,214618,2000,1137.16,0,615561,0,-51000,Multi-vehicle Collision,Major Damage,Fire,SC,Springfield,21,3,1,2,114920,17680,17680,79560,Audi,2006
60,23,842643,500,1215.36,3000000,432220,0,0,Single Vehicle Collision,Total Loss,Ambulance,SC,Northbend,9,1,1,0,56520,4710,9420,42390,Saab,2000
121,34,626808,1000,936.61,0,464652,52800,-32800,Parked Car,Minor Damage,None,SC,Springfield,5,1,1,1,7280,1120,1120,5040,Toyota,2010
180,38,644081,2000,1301.13,0,476685,41300,-55500,Single Vehicle Collision,Total Loss,Police,SC,Springfield,12,1,0,2,46200,4200,8400,33600,Dodge,2003
473,58,892874,2000,1131.4,0,458733,55700,0,Multi-vehicle Collision,Major Damage,Other,WV,Hillsdale,12,4,0,0,63120,10520,10520,42080,Accura,1999
70,26,558938,1000,1199.44,5000000,619884,63600,0,Multi-vehicle Collision,Major Damage,Other,NY,Riverwood,0,3,1,2,52110,5790,5790,40530,Nissan,2012
140,31,275265,500,708.64,6000000,470610,53500,0,Single Vehicle Collision,Total Loss,Police,WV,Northbend,9,1,0,2,77880,14160,7080,56640,Suburu,2015
160,37,921202,500,1374.22,0,472135,45500,-37800,Single Vehicle Collision,Total Loss,Other,NY,Northbrook,19,1,1,0,72930,6630,13260,53040,Accura,2015
196,39,143972,2000,1475.73,0,477670,57000,-27300,Multi-vehicle Collision,Major Damage,Police,VA,Columbus,8,3,2,0,60400,6040,6040,48320,Nissan,2014
460,62,183430,1000,1187.96,4000000,618845,0,0,Multi-vehicle Collision,Minor Damage,Police,NY,Columbus,20,3,1,0,47160,0,5240,41920,Suburu,2011
217,41,431876,2000,875.15,0,442479,46700,0,Multi-vehicle Collision,Total Loss,Police,SC,Arlington,15,3,1,2,37840,0,4730,33110,Accura,1996
370,55,285496,2000,972.18,0,443920,72700,-68200,Multi-vehicle Collision,Major Damage,Ambulance,SC,Hillsdale,20,3,0,0,71520,17880,5960,47680,Suburu,2000
413,55,115399,2000,1268.79,0,453148,0,-31000,Single Vehicle Collision,Total Loss,Ambulance,WV,Northbend,15,1,2,2,98160,8180,16360,73620,Dodge,2011
237,40,736882,1000,883.31,0,434733,0,-53500,Single Vehicle Collision,Minor Damage,Other,VA,Riverwood,6,1,1,3,77880,7080,14160,56640,Ford,2005
8,35,699044,2000,1266.92,0,613982,0,0,Multi-vehicle Collision,Major Damage,Other,OH,Arlington,16,3,1,3,71500,16500,11000,44000,Ford,2006
257,43,863236,2000,1322.1,0,436984,0,-29200,Parked Car,Minor Damage,Police,PA,Arlington,4,1,1,3,9020,1640,820,6560,Toyota,2005
202,34,608513,500,848.07,3000000,607730,31000,-30200,Vehicle Theft,Minor Damage,None,VA,Northbrook,5,1,2,1,5720,1040,520,4160,Suburu,2003
224,40,914088,2000,1291.7,0,609837,0,-55600,Single Vehicle Collision,Minor Damage,Other,SC,Northbend,21,1,1,0,69840,7760,15520,46560,Dodge,2009
241,45,596785,2000,1104.5,0,432211,0,0,Single Vehicle Collision,Minor Damage,Police,SC,Northbrook,5,1,2,2,91650,14100,14100,63450,Accura,2011
64,25,908616,1000,954.16,0,473328,53200,0,Multi-vehicle Collision,Major Damage,Ambulance,SC,Columbus,22,4,0,0,75600,12600,12600,50400,Toyota,2005
166,37,666333,2000,1337.28,8000000,610393,27500,0,Multi-vehicle Collision,Major Damage,Police,WV,Riverwood,10,3,2,2,67140,7460,7460,52220,Ford,2006
155,35,336614,1000,1088.34,0,614780,81100,0,Multi-vehicle Collision,Total Loss,Police,NY,Arlington,16,3,2,3,29790,3310,3310,23170,BMW,2008
114,30,584859,1000,1558.29,0,472248,51400,-64000,Multi-vehicle Collision,Major Damage,Ambulance,NY,Hillsdale,1,3,1,2,77110,14020,14020,49070,Suburu,2015
149,37,990493,500,1415.68,0,603381,0,0,Single Vehicle Collision,Total Loss,Fire,WV,Hillsdale,17,1,0,1,64800,10800,5400,48600,Audi,1999
147,33,129872,1000,1334.15,6000000,479224,53300,-49200,Single Vehicle Collision,Major Damage,Other,WV,Springfield,15,1,2,0,53100,10620,5310,37170,Mercedes,1995
62,28,200152,1000,988.45,0,430141,0,0,Single Vehicle Collision,Total Loss,Police,NY,Northbrook,3,1,1,1,60200,6020,6020,48160,Suburu,2004
289,49,933293,2000,1222.48,0,620757,0,0,Parked Car,Minor Damage,None,WV,Arlington,16,1,1,1,5330,1230,820,3280,Suburu,2001
431,54,485664,2000,1155.55,0,615901,65700,0,Multi-vehicle Collision,Major Damage,Police,NY,Hillsdale,4,3,2,0,62300,12460,6230,43610,Jeep,2007
199,37,982871,500,1262.08,0,474615,48500,0,Single Vehicle Collision,Major Damage,Ambulance,NC,Columbus,4,1,0,3,60170,10940,10940,38290,Nissan,2011
79,26,206213,500,1451.62,0,456446,0,-55700,Single Vehicle Collision,Minor Damage,Ambulance,WV,Columbus,19,1,2,2,40000,8000,4000,28000,BMW,2010
116,34,616337,500,1737.66,0,470577,0,-24100,Single Vehicle Collision,Major Damage,Police,WV,Northbrook,1,1,1,1,97080,16180,16180,64720,BMW,2001
37,23,448961,500,1475.93,0,441648,0,-67400,Multi-vehicle Collision,Minor Damage,Other,SC,Springfield,17,3,1,0,51660,5740,5740,40180,Dodge,2010
106,30,790442,500,538.17,0,433782,49700,-60200,Single Vehicle Collision,Total Loss,Other,NC,Arlington,23,1,2,2,51120,5680,5680,39760,Mercedes,2005
269,44,108844,2000,1081.08,0,468104,36400,-28700,Single Vehicle Collision,Minor Damage,Other,SC,Springfield,14,1,0,2,56400,11280,11280,33840,Toyota,2014
265,40,430029,1000,1454.43,0,459407,0,0,Multi-vehicle Collision,Total Loss,Other,NY,Arlington,17,3,2,3,55120,6890,0,48230,Accura,2002
163,33,529112,500,1240.47,0,472573,35300,0,Multi-vehicle Collision,Total Loss,Fire,NC,Northbend,11,3,1,1,77110,0,14020,63090,Honda,2014
355,47,939631,2000,1273.7,4000000,433473,0,0,Multi-vehicle Collision,Major Damage,Fire,WV,Arlington,19,3,2,1,62800,6280,6280,50240,Audi,2003
175,34,866931,1000,1123.87,8000000,446326,0,0,Vehicle Theft,Trivial Damage,Police,NY,Arlington,5,1,2,0,7290,810,810,5670,Volkswagen,1995
192,35,582011,1000,1245.89,0,435481,0,-40300,Single Vehicle Collision,Total Loss,Other,WV,Springfield,19,1,0,0,76600,15320,7660,53620,Mercedes,2000
430,59,691189,2000,1326.62,7000000,477310,0,0,Multi-vehicle Collision,Minor Damage,Fire,NY,Riverwood,19,3,0,3,81800,16360,8180,57260,Nissan,1998
91,27,537546,2000,1073.83,0,609930,0,0,Vehicle Theft,Trivial Damage,None,NY,Arlington,4,1,1,2,7260,1320,660,5280,BMW,2008
217,39,394975,1000,1530.52,0,603993,0,0,Vehicle Theft,Minor Damage,None,WV,Northbend,8,1,2,1,4300,430,430,3440,Toyota,2000
223,40,729634,500,1201.41,0,437818,88400,-46500,Multi-vehicle Collision,Major Damage,Police,NC,Columbus,7,3,1,0,70510,12820,12820,44870,Suburu,1999
195,39,282195,1000,1393.57,0,478423,47600,-39600,Parked Car,Minor Damage,Police,VA,Northbend,5,1,0,1,2640,480,480,1680,Ford,2009
22,26,420810,1000,1276.57,0,467784,71500,0,Single Vehicle Collision,Minor Damage,Fire,NY,Arlington,3,1,1,2,78900,15780,7890,55230,Chevrolet,1995
439,56,524836,500,1082.49,0,606714,36100,-55000,Multi-vehicle Collision,Major Damage,Fire,SC,Columbus,12,3,2,3,56430,0,6270,50160,Honda,2014
94,32,307195,1000,1414.74,0,464691,0,0,Parked Car,Minor Damage,None,VA,Riverwood,19,1,1,3,2400,300,300,1800,Chevrolet,2014
11,39,623648,2000,1470.06,0,431683,56600,-45800,Single Vehicle Collision,Total Loss,Ambulance,WV,Riverwood,22,1,0,1,65790,7310,7310,51170,Saab,2007
151,36,485372,2000,870.63,0,431725,94800,-58500,Multi-vehicle Collision,Minor Damage,Police,VA,Hillsdale,12,3,1,1,62920,11440,5720,45760,Ford,2000
154,34,598554,500,795.23,0,609216,36900,0,Multi-vehicle Collision,Major Damage,Police,NY,Springfield,15,3,2,1,69480,15440,0,54040,Nissan,2014
245,44,303987,1000,1168.2,0,452787,69100,0,Multi-vehicle Collision,Total Loss,Other,OH,Springfield,23,3,0,3,44280,7380,3690,33210,Honda,1997
119,32,343161,1000,993.51,0,468767,0,-49500,Single Vehicle Collision,Minor Damage,Other,WV,Hillsdale,12,1,0,3,56300,5630,11260,39410,BMW,2011
215,42,519312,500,1848.81,0,435489,0,-49000,Multi-vehicle Collision,Major Damage,Fire,WV,Northbend,20,3,2,2,68520,11420,5710,51390,Suburu,2003
295,42,132902,2000,1641.73,5000000,450149,62400,0,Multi-vehicle Collision,Total Loss,Fire,VA,Riverwood,16,3,0,0,59130,6570,6570,45990,Ford,2006
254,39,332867,500,1362.87,0,458364,35700,0,Multi-vehicle Collision,Minor Damage,Ambulance,NY,Arlington,6,3,2,2,82320,13720,6860,61740,Dodge,1995
107,31,356590,500,1239.22,7000000,476458,43400,-91200,Single Vehicle Collision,Minor Damage,Fire,SC,Springfield,12,1,0,1,89700,13800,13800,62100,Audi,2009
478,64,346002,500,835.02,0,602433,59600,0,Multi-vehicle Collision,Minor Damage,Fire,WV,Hillsdale,17,3,1,1,33930,0,3770,30160,BMW,1998
128,30,500533,1000,1061.33,0,478575,43300,-66200,Single Vehicle Collision,Major Damage,Ambulance,WV,Northbrook,8,1,0,3,68530,12460,6230,49840,Audi,1997
338,49,348209,1000,1279.08,0,449718,0,-51500,Parked Car,Minor Damage,None,NC,Riverwood,13,1,0,1,4300,860,860,2580,Ford,2004
271,42,486676,500,1105.49,0,463181,56200,-50000,Multi-vehicle Collision,Major Damage,Other,SC,Hillsdale,12,2,2,3,68310,12420,6210,49680,Audi,2003
222,41,260845,2000,1055.53,0,441992,37800,-50300,Single Vehicle Collision,Total Loss,Other,WV,Northbrook,7,1,0,2,61290,6810,6810,47670,Honda,1995
199,41,657045,1000,895.83,0,452597,0,0,Single Vehicle Collision,Minor Damage,Ambulance,NC,Arlington,10,1,1,2,30100,3010,0,27090,Chevrolet,1999
215,37,761189,500,1632.93,0,614417,0,-42900,Multi-vehicle Collision,Minor Damage,Fire,SC,Riverwood,7,3,2,0,57120,9520,4760,42840,Mercedes,2002
192,40,175177,1000,1405.99,0,472895,0,0,Multi-vehicle Collision,Minor Damage,Ambulance,VA,Springfield,18,3,1,0,42930,9540,4770,28620,BMW,2005
120,35,116700,1000,1425.54,0,475847,78300,0,Multi-vehicle Collision,Total Loss,Ambulance,SC,Riverwood,22,3,2,0,51210,11380,5690,34140,Ford,2010
270,45,166264,1000,1038.09,0,476978,0,-19700,Multi-vehicle Collision,Minor Damage,Fire,NY,Springfield,18,3,1,1,89400,14900,7450,67050,Suburu,1998
319,47,527945,500,1307.11,0,600648,0,0,Multi-vehicle Collision,Total Loss,Police,WV,Northbrook,22,3,0,2,59730,10860,10860,38010,Audi,2005
194,39,627540,1000,1489.24,6000000,608335,0,-45000,Vehicle Theft,Minor Damage,None,SC,Springfield,15,1,2,2,8060,1240,1240,5580,Saab,2004
227,38,279422,500,976.67,0,471600,0,0,Single Vehicle Collision,Major Damage,Fire,SC,Northbrook,16,1,1,2,72200,14440,7220,50540,BMW,2013
137,31,484200,2000,1340.43,0,441175,52700,-40600,Multi-vehicle Collision,Minor Damage,Ambulance,NC,Arlington,6,3,1,2,50800,10160,10160,30480,Accura,2005
244,40,645258,2000,1267.81,5000000,603123,0,0,Vehicle Theft,Trivial Damage,None,NC,Northbrook,10,1,2,1,6600,660,1320,4620,Accura,2005
78,29,694662,1000,1234.2,6000000,457767,0,0,Vehicle Theft,Minor Damage,Police,NY,Northbrook,3,1,2,2,7500,750,1500,5250,Nissan,2002
200,35,960680,2000,1318.06,0,618498,57300,-80600,Vehicle Theft,Trivial Damage,None,VA,Hillsdale,13,1,0,3,6490,1180,1180,4130,Volkswagen,2002
